Date,Close
4/1/1968,37.7
5/1/1968,39.2
6/1/1968,41.95
7/1/1968,40.8
8/1/1968,38.9
9/1/1968,39.8
10/1/1968,39.45
11/1/1968,39.175
12/1/1968,40.15
1/1/1969,.
2/1/1969,42.425
3/1/1969,42.7
4/1/1969,43.15
5/1/1969,43.6
6/1/1969,42.675
7/1/1969,41.15
8/1/1969,41.43
9/1/1969,.
10/1/1969,40.75
11/1/1969,39.55
12/1/1969,35.55
1/1/1970,.
2/1/1970,34.985
3/1/1970,35
4/1/1970,35.375
5/1/1970,35.875
6/1/1970,35.4
7/1/1970,35.49
8/1/1970,35.325
9/1/1970,35.925
10/1/1970,36.375
11/1/1970,37.65
12/1/1970,37.45
1/1/1971,.
2/1/1971,38.175
3/1/1971,38.69
4/1/1971,38.9
5/1/1971,39.43
6/1/1971,40.84
7/1/1971,40.24
8/1/1971,42.35
9/1/1971,41.1
10/1/1971,42.4
11/1/1971,42.15
12/1/1971,43.54
1/1/1972,44
2/1/1972,48.1
3/1/1972,48.025
4/1/1972,.
5/1/1972,50.35
6/1/1972,59.225
7/1/1972,65.5
8/1/1972,69.3
9/1/1972,66.85
10/1/1972,64.15
11/1/1972,64
12/1/1972,64.2
1/1/1973,.
2/1/1973,66.6
3/1/1973,85.7
4/1/1973,89.25
5/1/1973,90.7
6/1/1973,117.75
7/1/1973,121
8/1/1973,117.5
9/1/1973,104.5
10/1/1973,96.75
11/1/1973,97
12/1/1973,100.25
1/1/1974,.
2/1/1974,130.5
3/1/1974,167.5
4/1/1974,174.1
5/1/1974,169.5
6/1/1974,155.5
7/1/1974,143
8/1/1974,159.4
9/1/1974,158.5
10/1/1974,155.75
11/1/1974,167.75
12/1/1974,185.75
1/1/1975,.
2/1/1975,176.25
3/1/1975,181.85
4/1/1975,177.25
5/1/1975,166
6/1/1975,161.75
7/1/1975,166.5
8/1/1975,166.75
9/1/1975,155
10/1/1975,143.5
11/1/1975,143.25
12/1/1975,137.9
1/1/1976,.
2/1/1976,130.4
3/1/1976,132.3
4/1/1976,129.2
5/1/1976,128.35
6/1/1976,126.65
7/1/1976,122.9
8/1/1976,111.9
9/1/1976,105.7
10/1/1976,116
11/1/1976,122.6
12/1/1976,130.5
1/1/1977,.
2/1/1977,132.6
3/1/1977,141.4
4/1/1977,148.3
5/1/1977,148.35
6/1/1977,143.85
7/1/1977,142.55
8/1/1977,144.2
9/1/1977,145.425
10/1/1977,155.45
11/1/1977,162.5
12/1/1977,160.3
1/1/1978,.
2/1/1978,176.4
3/1/1978,182.5
4/1/1978,183.4
5/1/1978,.
6/1/1978,183
7/1/1978,183.25
8/1/1978,205.1
9/1/1978,208
10/1/1978,217.1
11/1/1978,227.5
12/1/1978,194.65
1/1/1979,.
2/1/1979,229.35
3/1/1979,248.8
4/1/1979,239.7
5/1/1979,247.3
6/1/1979,275.1
7/1/1979,282.5
8/1/1979,290.1
9/1/1979,322.9
10/1/1979,414.75
11/1/1979,378.5
12/1/1979,428.75
1/1/1980,.
2/1/1980,676.5
3/1/1980,633.75
4/1/1980,509.5
5/1/1980,490
6/1/1980,561.5
7/1/1980,660
8/1/1980,622
9/1/1980,628.75
10/1/1980,682
11/1/1980,640.5
12/1/1980,635
1/1/1981,.
2/1/1981,493.5
3/1/1981,465.5
4/1/1981,514.25
5/1/1981,487.5
6/1/1981,483.25
7/1/1981,422
8/1/1981,392.5
9/1/1981,421.5
10/1/1981,436.75
11/1/1981,430
12/1/1981,402.5
1/1/1982,.
2/1/1982,379.5
3/1/1982,361.25
4/1/1982,327
5/1/1982,.
6/1/1982,318.75
7/1/1982,310.25
8/1/1982,351.35
